142,12.5,465.63,93.335,-41.185,622.46,0.22438,-38.533,45.45
142,13,489.53,35.522,-39.623,594.53,0.22733,-36.351,32.168
142,13.5,500.35,38.424,-37.698,645.43,0.22557,-33.747,33.381
142,14,575.77,41.94,-38.611,645.84,0.22864,-34.552,27.052
142,14.5,350.54,-30.096,-29.344,355.64,0.23114,-23.67,20.578
142,15,363.31,-13.559,-28.794,419.63,0.24022,-22.978,11.952
142,15.5,292.46,-52.35,-26.939,246.52,0.24005,-21.009,13.624
142,16,291.92,-60.363,-27.482,241.78,0.24635,-21.448,10.43
142,16.5,313.36,-48.066,-24.669,284.91,0.25351,-17.922,7.5307
142,17,230.3,-63.286,-18.622,162.4,0.24706,-10.541,8.3684
142,17.5,136.97,-57.503,-12.756,68.249,0.24582,-4.3847,3.5808
142,18,61.91,-44.506,-8.2181,13.876,0.24719,0.25103,-0.30002
142,18.5,82.593,-60.423,-6.9304,-2.3955,0.24872,2.9798,-1.7438
142,19,62.313,-52.768,-4.5057,-17.669,0.31066,5.8411,-2.5059
142,19.5,35.629,-40.565,-0.9679,-48.923,0.47379,9.1652,-4.9125
142,20,14.847,-17.535,-0.15977,-52.049,0.10122,6.6555,-9.4318
142,20.5,13.626,-17.095,-0.34202,-52.499,-0.11874,7.012,-14.221
142,21,24.953,-20.292,-0.24954,-31.184,-0.83305,8.8079,-14.486
142,21.5,32.148,-47.917,-0.30005,-54.24,-0.34422,10.575,-10.865
142,22,37.114,-53.225,2.6782,-39.839,-0.48665,14.465,-8.9425
142,22.5,42.33,-66.93,1.0905,-53.833,-0.22564,13.107,-8.1917
142,23,40.521,-62.637,-0.061265,-58.204,-0.24397,11.873,-8.4647
142,23.5,43.237,-50.512,0.81741,-33.919,-0.15208,12.948,-7.8032
142,24,24.725,-53.443,1.3957,-61.3,-0.01446,13.004,-7.1381
143,0.5,16.577,-40.877,0.5329,-61.736,-0.13927,11.444,-8.7632
143,1,11.801,-39.461,0.57647,-61.056,-0.233,11.224,-9.959
143,1.5,10.377,-20.971,-0.17819,-56.209,-0.18901,8.7865,-10.565
143,2,16.792,-35.749,1.5565,-44.46,-0.47883,12.127,-11.749
143,2.5,16.253,-19.088,-0.18023,-41.918,-0.26952,8.7306,-10.81
